System_Name,Topology,Trajectory,Start_Label
ADRB2-2RH1,traj-sliced/2RH1_Carazolol_MDSim_A-out.cms,traj-sliced/2RH1_Carazolol_MDSim_A.xtc,inactive
ADRB2-2RH1,traj-sliced/2RH1_Carazolol_MDSim_B-out.cms,traj-sliced/2RH1_Carazolol_MDSim_B.xtc,inactive
ADRB2-2RH1,traj-sliced/2RH1_Carazolol_MDSim_C-out.cms,traj-sliced/2RH1_Carazolol_MDSim_C.xtc,inactive
ADRB2-2RH1,traj-sliced/2RH1_Carazolol_MDSim_D-out.cms,traj-sliced/2RH1_Carazolol_MDSim_D.xtc,inactive
ADRB2-2RH1,traj-sliced/2RH1_Carazolol_MDSim_E-out.cms,traj-sliced/2RH1_Carazolol_MDSim_E.xtc,inactive
ADRB2-2RH1,traj-sliced/2RH1_Carazolol_MDSim_F-out.cms,traj-sliced/2RH1_Carazolol_MDSim_F.xtc,inactive
ADRB2-3P0G,traj-sliced/3P0G_BI-167107_MDSim_A-out.cms,traj-sliced/3P0G_BI-167107_MDSim_A.xtc,active
ADRB2-3P0G,traj-sliced/3P0G_BI-167107_MDSim_B-out.cms,traj-sliced/3P0G_BI-167107_MDSim_B.xtc,active
ADRB2-3P0G,traj-sliced/3P0G_BI-167107_MDSim_C-out.cms,traj-sliced/3P0G_BI-167107_MDSim_C.xtc,active
ADRB2-3P0G,traj-sliced/3P0G_BI-167107_MDSim_D-out.cms,traj-sliced/3P0G_BI-167107_MDSim_D.xtc,active
ADRB2-3P0G,traj-sliced/3P0G_BI-167107_MDSim_E-out.cms,traj-sliced/3P0G_BI-167107_MDSim_E.xtc,active
ADRB2-3P0G,traj-sliced/3P0G_BI-167107_MDSim_F-out.cms,traj-sliced/3P0G_BI-167107_MDSim_F.xtc,active
ADRB2-5JQH,traj-sliced/5JQH_Carazolol_MDSim_A-out.cms,traj-sliced/5JQH_Carazolol_MDSim_A.xtc,inactive
ADRB2-5JQH,traj-sliced/5JQH_Carazolol_MDSim_B-out.cms,traj-sliced/5JQH_Carazolol_MDSim_B.xtc,inactive
ADRB2-5JQH,traj-sliced/5JQH_Carazolol_MDSim_C-out.cms,traj-sliced/5JQH_Carazolol_MDSim_C.xtc,inactive
ADRB2-5JQH,traj-sliced/5JQH_Carazolol_MDSim_D-out.cms,traj-sliced/5JQH_Carazolol_MDSim_D.xtc,inactive
ADRB2-5JQH,traj-sliced/5JQH_Carazolol_MDSim_E-out.cms,traj-sliced/5JQH_Carazolol_MDSim_E.xtc,inactive
ADRB2-5JQH,traj-sliced/5JQH_Carazolol_MDSim_F-out.cms,traj-sliced/5JQH_Carazolol_MDSim_F.xtc,inactive
ADRB2-7DHI,traj-sliced/7DHI_Salbutamol_MDSim_A-out.cms,traj-sliced/7DHI_Salbutamol_MDSim_A.xtc,active
ADRB2-7DHI,traj-sliced/7DHI_Salbutamol_MDSim_B-out.cms,traj-sliced/7DHI_Salbutamol_MDSim_B.xtc,active
ADRB2-7DHI,traj-sliced/7DHI_Salbutamol_MDSim_C-out.cms,traj-sliced/7DHI_Salbutamol_MDSim_C.xtc,active
ADRB2-7DHI,traj-sliced/7DHI_Salbutamol_MDSim_D-out.cms,traj-sliced/7DHI_Salbutamol_MDSim_D.xtc,active
ADRB2-7DHI,traj-sliced/7DHI_Salbutamol_MDSim_E-out.cms,traj-sliced/7DHI_Salbutamol_MDSim_E.xtc,active
ADRB2-7DHI,traj-sliced/7DHI_Salbutamol_MDSim_F-out.cms,traj-sliced/7DHI_Salbutamol_MDSim_F.xtc,active

